Dataset,Node,Twins,Near_Twins
BCSPWR06,1238,[],"[(1290, 1)]"
BCSPWR06,1257,[],"[(1005, 1)]"
BCSPWR06,1265,[],"[(1290, 1)]"
BCSPWR06,1274,[],"[(1349, 1)]"
BCSPWR06,1290,[],"[(1238, 1), (1265, 1), (1291, 1), (1292, 1)]"
BCSPWR06,1291,[],"[(1290, 1)]"
BCSPWR06,1292,[],"[(1290, 1)]"
BCSPWR06,1298,[],"[(1314, 1), (1316, 1)]"
BCSPWR06,1300,[],"[(1325, 1)]"
BCSPWR06,1303,[],"[(1310, 1)]"
BCSPWR06,1304,[],"[(1008, 1)]"
BCSPWR06,1306,[],"[(1309, 1)]"
BCSPWR06,1309,[],"[(1306, 1)]"
BCSPWR06,1310,[],"[(1303, 1)]"
BCSPWR06,1312,[],"[(1032, 1), (1318, 1)]"
BCSPWR06,1314,[1316],"[(1298, 1)]"
BCSPWR06,1316,[1314],"[(1298, 1)]"
BCSPWR06,1318,[],"[(1312, 1)]"
BCSPWR06,1325,[],"[(1300, 1)]"
BCSPWR06,1331,[],"[(1336, 1)]"
BCSPWR06,1332,[],"[(1335, 1)]"
BCSPWR06,1335,[],"[(1332, 1)]"
BCSPWR06,1336,[],"[(1331, 1)]"
BCSPWR06,1337,[],"[(421, 1), (1346, 1)]"
BCSPWR06,1340,[],"[(1344, 1)]"
BCSPWR06,1344,[],"[(1340, 1)]"
BCSPWR06,1346,[],"[(1337, 1)]"
BCSPWR06,1347,[],"[(1014, 1)]"
BCSPWR06,1349,[],"[(1274, 1)]"
BCSPWR06,1363,[1364],"[(1408, 1), (1420, 1)]"
BCSPWR06,1364,[1363],"[(1408, 1), (1420, 1)]"
BCSPWR06,1367,[],"[(1383, 1), (1384, 1)]"
BCSPWR06,1370,[1371],"[(1416, 1)]"
BCSPWR06,1371,[1370],"[(1416, 1)]"
BCSPWR06,1374,[],"[(1387, 1)]"
BCSPWR06,1379,[],"[(1390, 1)]"
BCSPWR06,1381,[],"[(1412, 1)]"
BCSPWR06,1383,[1384],"[(1367, 1), (1402, 1)]"
BCSPWR06,1384,[1383],"[(1367, 1), (1402, 1)]"
BCSPWR06,1387,[],"[(1374, 1)]"
BCSPWR06,1388,[],"[(290, 1)]"
BCSPWR06,1390,[],"[(1379, 1), (1398, 1)]"
BCSPWR06,1393,"[1394, 1395]","[(999, 1)]"
BCSPWR06,1394,"[1393, 1395]","[(999, 1)]"
BCSPWR06,1395,"[1393, 1394]","[(999, 1)]"
BCSPWR06,1398,[],"[(1390, 1)]"
BCSPWR06,1399,[],"[(1410, 1)]"
BCSPWR06,1402,[],"[(58, 1), (1383, 1), (1384, 1)]"
BCSPWR06,1404,[1409],[]
BCSPWR06,1408,[],"[(1363, 1), (1364, 1)]"
BCSPWR06,1409,[1404],[]
BCSPWR06,1410,[],"[(1399, 1)]"
BCSPWR06,1412,[],"[(1381, 1)]"
BCSPWR06,1416,[],"[(1370, 1), (1371, 1)]"
BCSPWR06,1420,[],"[(1363, 1), (1364, 1)]"
BCSPWR06,1424,[],"[(1438, 1)]"
BCSPWR06,1427,[],"[(1441, 1), (1431, 1)]"
BCSPWR06,1429,[],"[(223, 1)]"
BCSPWR06,1431,[],"[(1427, 1), (1432, 1)]"
BCSPWR06,1432,[],"[(1431, 1)]"
BCSPWR06,1436,[],"[(1453, 1)]"
BCSPWR06,1438,[],"[(1424, 1)]"
BCSPWR06,1440,[],"[(283, 1), (1443, 1)]"
BCSPWR06,1441,[],"[(1427, 1), (1445, 1)]"
BCSPWR06,1443,[],"[(1440, 1)]"
BCSPWR06,1445,[],"[(1441, 1)]"
BCSPWR06,1453,[],"[(1436, 1)]"
BCSPWR07,1,[4],[]
BCSPWR07,4,[1],[]
BCSPWR07,7,[],"[(32, 1), (23, 1)]"
BCSPWR07,10,[11],"[(185, 1)]"
BCSPWR07,11,[10],"[(185, 1)]"
BCSPWR07,16,[],"[(40, 1)]"
BCSPWR07,18,[],"[(159, 1)]"
BCSPWR07,21,[],"[(150, 1), (149, 1)]"
BCSPWR07,23,[],"[(7, 1)]"
BCSPWR07,24,[],"[(111, 1)]"
BCSPWR07,30,[],"[(31, 1)]"
BCSPWR07,31,[],"[(30, 1), (141, 1)]"
BCSPWR07,32,[],"[(7, 1)]"
BCSPWR07,35,[],"[(36, 1), (50, 1)]"
BCSPWR07,36,[],"[(35, 1), (123, 1)]"
BCSPWR07,37,[],"[(206, 1)]"
BCSPWR07,40,[],"[(16, 1), (86, 1)]"
BCSPWR07,43,"[44, 45, 46]","[(231, 1)]"
BCSPWR07,44,"[43, 45, 46]","[(231, 1)]"
BCSPWR07,45,"[43, 44, 46]","[(231, 1)]"
BCSPWR07,46,"[43, 44, 45]","[(231, 1)]"
BCSPWR07,49,[],"[(159, 1)]"
BCSPWR07,50,[],"[(35, 1)]"
BCSPWR07,51,[],"[(194, 1), (195, 1)]"
BCSPWR07,53,"[56, 57]","[(87, 1)]"
BCSPWR07,56,"[53, 57]","[(87, 1)]"
BCSPWR07,57,"[53, 56]","[(87, 1)]"
BCSPWR07,58,[],"[(194, 1), (195, 1)]"
BCSPWR07,60,[61],[]
BCSPWR07,61,[60],[]
BCSPWR07,64,"[65, 66, 69]",[]
BCSPWR07,65,"[64, 66, 69]",[]
BCSPWR07,66,"[64, 65, 69]",[]
BCSPWR07,67,[],"[(1431, 1)]"
BCSPWR07,69,"[64, 65, 66]",[]
BCSPWR07,85,[],"[(159, 1)]"
BCSPWR07,86,[],"[(40, 1)]"
BCSPWR07,87,[],"[(53, 1), (56, 1), (57, 1)]"
BCSPWR07,91,[92],[]
BCSPWR07,92,[91],[]
BCSPWR07,96,"[99, 100]",[]
BCSPWR07,97,[98],[]
BCSPWR07,98,[97],[]
BCSPWR07,99,"[96, 100]",[]
BCSPWR07,100,"[96, 99]",[]
BCSPWR07,108,"[109, 110]",[]
BCSPWR07,109,"[108, 110]",[]
BCSPWR07,110,"[108, 109]",[]
BCSPWR07,111,[],"[(24, 1)]"
BCSPWR07,114,[],"[(121, 1)]"
BCSPWR07,119,[],"[(640, 1), (641, 1)]"
BCSPWR07,121,[],"[(114, 1)]"
BCSPWR07,123,[],"[(36, 1)]"
BCSPWR07,132,"[133, 134]",[]
BCSPWR07,133,"[132, 134]",[]
BCSPWR07,134,"[132, 133]",[]
BCSPWR07,135,[],"[(139, 1)]"
BCSPWR07,138,[],"[(139, 1)]"
BCSPWR07,139,[],"[(135, 1), (138, 1)]"
BCSPWR07,141,[],"[(31, 1)]"
BCSPWR07,145,[146],[]
BCSPWR07,146,[145],[]
BCSPWR07,149,[150],"[(21, 1), (153, 1)]"
BCSPWR07,150,[149],"[(21, 1), (153, 1)]"
BCSPWR07,153,[],"[(149, 1), (150, 1)]"
BCSPWR07,159,[],"[(18, 1), (49, 1), (85, 1)]"
BCSPWR07,162,"[163, 164]",[]
BCSPWR07,163,"[162, 164]",[]
BCSPWR07,164,"[162, 163]",[]
BCSPWR07,181,[182],[]
BCSPWR07,182,[181],[]
BCSPWR07,185,[],"[(10, 1), (11, 1)]"
BCSPWR07,191,[],"[(197, 1), (198, 1)]"
BCSPWR07,194,[195],"[(51, 1), (58, 1), (199, 1), (209, 1)]"
BCSPWR07,195,[194],"[(51, 1), (58, 1), (199, 1), (209, 1)]"
BCSPWR07,197,[198],"[(191, 1), (200, 1)]"
BCSPWR07,198,[197],"[(191, 1), (200, 1)]"
BCSPWR07,199,[],"[(194, 1), (195, 1)]"
BCSPWR07,200,[],"[(197, 1), (198, 1)]"
BCSPWR07,202,[],"[(203, 1)]"
BCSPWR07,203,[],"[(202, 1)]"
BCSPWR07,206,[],"[(37, 1)]"
BCSPWR07,209,[],"[(194, 1), (195, 1)]"
BCSPWR07,213,[214],[]
BCSPWR07,214,[213],[]
BCSPWR07,230,[],"[(231, 1)]"
BCSPWR07,231,[],"[(43, 1), (44, 1), (45, 1), (46, 1), (230, 1)]"
BCSPWR07,245,"[246, 249]","[(248, 1), (250, 1)]"
BCSPWR07,246,"[245, 249]","[(248, 1), (250, 1)]"
BCSPWR07,248,[],"[(245, 1), (246, 1), (249, 1)]"
BCSPWR07,249,"[245, 246]","[(248, 1), (250, 1)]"
BCSPWR07,250,[],"[(245, 1), (246, 1), (249, 1)]"
BCSPWR07,252,[],"[(262, 1)]"
BCSPWR07,254,[],"[(260, 1)]"
BCSPWR07,255,[],"[(335, 1)]"
BCSPWR07,260,[],"[(254, 1)]"
BCSPWR07,262,[],"[(252, 1)]"
BCSPWR07,267,[],"[(1587, 1), (307, 1)]"
BCSPWR07,269,[],"[(323, 1)]"
BCSPWR07,270,[279],[]
BCSPWR07,275,[276],[]
BCSPWR07,276,[275],[]
BCSPWR07,279,[270],[]
BCSPWR07,280,[],"[(300, 1)]"
BCSPWR07,282,[],"[(300, 1)]"
BCSPWR07,293,[],"[(316, 1), (319, 1)]"
BCSPWR07,295,[],"[(297, 1)]"
BCSPWR07,297,[],"[(295, 1)]"
BCSPWR07,300,[],"[(280, 1), (282, 1)]"
BCSPWR07,307,[],"[(267, 1)]"
BCSPWR07,316,[],"[(293, 1)]"
BCSPWR07,319,[],"[(293, 1)]"
BCSPWR07,323,[],"[(269, 1)]"
BCSPWR07,332,[],"[(1598, 1)]"
BCSPWR07,335,[],"[(255, 1)]"
BCSPWR07,339,[340],"[(1416, 1), (378, 1)]"
BCSPWR07,340,[339],"[(1416, 1), (378, 1)]"
BCSPWR07,343,"[368, 374, 390]","[(389, 1)]"
BCSPWR07,344,[],"[(360, 1)]"
BCSPWR07,352,[353],[]
BCSPWR07,353,[352],[]
BCSPWR07,359,[],"[(384, 1)]"
BCSPWR07,360,[],"[(344, 1), (381, 1)]"
BCSPWR07,362,[],"[(742, 1)]"
BCSPWR07,365,[],"[(366, 1)]"
BCSPWR07,366,[],"[(365, 1), (389, 1), (377, 1)]"
BCSPWR07,368,"[343, 374, 390]","[(389, 1)]"
BCSPWR07,372,[],"[(876, 1)]"
BCSPWR07,374,"[343, 368, 390]","[(389, 1)]"
BCSPWR07,377,[],"[(366, 1)]"
BCSPWR07,378,[],"[(339, 1), (340, 1)]"
BCSPWR07,381,[],"[(360, 1)]"
BCSPWR07,384,[],"[(359, 1)]"
BCSPWR07,389,[],"[(343, 1), (366, 1), (368, 1), (374, 1), (390, 1)]"
BCSPWR07,390,"[343, 368, 374]","[(389, 1)]"
BCSPWR07,399,[],"[(443, 1)]"
BCSPWR07,407,[],"[(412, 1)]"
BCSPWR07,408,[],"[(414, 1)]"
BCSPWR07,412,[],"[(407, 1)]"
BCSPWR07,414,[],"[(408, 1)]"
BCSPWR07,420,[],"[(441, 1)]"
BCSPWR07,421,[],"[(432, 1)]"
BCSPWR07,424,[],"[(425, 1)]"
BCSPWR07,425,[],"[(424, 1)]"
BCSPWR07,432,[],"[(421, 1)]"
BCSPWR07,436,[437],[]
BCSPWR07,437,[436],[]
BCSPWR07,439,[],"[(444, 1)]"
BCSPWR07,441,[],"[(420, 1)]"
BCSPWR07,443,[],"[(399, 1)]"
BCSPWR07,444,[],"[(439, 1)]"
BCSPWR07,453,[454],[]
BCSPWR07,454,[453],[]
BCSPWR07,464,"[477, 498, 500, 502]","[(487, 1), (488, 1)]"
BCSPWR07,468,[482],[]
BCSPWR07,477,"[464, 498, 500, 502]","[(487, 1), (488, 1)]"
BCSPWR07,478,[479],[]
BCSPWR07,479,[478],[]
BCSPWR07,481,[],"[(1563, 1)]"
BCSPWR07,482,[468],[]
BCSPWR07,487,[],"[(464, 1), (477, 1), (498, 1), (500, 1), (502, 1)]"
BCSPWR07,488,[],"[(464, 1), (477, 1), (498, 1), (500, 1), (502, 1)]"
BCSPWR07,495,[],"[(496, 1)]"
BCSPWR07,496,[],"[(495, 1), (777, 1)]"
BCSPWR07,498,"[464, 477, 500, 502]","[(487, 1), (488, 1)]"
BCSPWR07,500,"[464, 477, 498, 502]","[(487, 1), (488, 1)]"
BCSPWR07,502,"[464, 477, 498, 500]","[(487, 1), (488, 1)]"
BCSPWR07,504,[],"[(684, 1)]"
BCSPWR07,506,[],"[(549, 1)]"
BCSPWR07,510,[],"[(529, 1), (561, 1)]"
BCSPWR07,513,[],"[(561, 1)]"
BCSPWR07,517,[520],"[(544, 1), (545, 1), (543, 1)]"
BCSPWR07,518,[519],"[(553, 1), (522, 1)]"
BCSPWR07,519,[518],"[(553, 1), (522, 1)]"
BCSPWR07,520,[517],"[(544, 1), (545, 1), (543, 1)]"
BCSPWR07,522,[],"[(518, 1), (519, 1)]"
BCSPWR07,524,[],"[(543, 1)]"
BCSPWR07,529,[],"[(510, 1)]"
BCSPWR07,533,[560],[]
BCSPWR07,543,[],"[(517, 1), (520, 1), (524, 1)]"
BCSPWR07,544,[],"[(517, 1), (520, 1)]"
BCSPWR07,545,[],"[(517, 1), (520, 1)]"
BCSPWR07,547,[],"[(561, 1)]"
BCSPWR07,549,[],"[(506, 1)]"
BCSPWR07,550,"[551, 552]",[]
BCSPWR07,551,"[550, 552]",[]
BCSPWR07,552,"[550, 551]",[]
BCSPWR07,553,[],"[(518, 1), (519, 1)]"
BCSPWR07,560,[533],[]
BCSPWR07,561,[],"[(510, 1), (513, 1), (547, 1)]"
BCSPWR07,571,[],"[(650, 1)]"
BCSPWR07,572,[],"[(648, 1)]"
BCSPWR07,581,[],"[(594, 1)]"
BCSPWR07,582,[],"[(604, 1)]"
BCSPWR07,587,[],"[(632, 1), (633, 1)]"
BCSPWR07,589,[],"[(642, 1)]"
BCSPWR07,592,[],"[(609, 1), (610, 1), (611, 1), (612, 1), (613, 1), (614, 1)]"
BCSPWR07,594,[],"[(581, 1)]"
BCSPWR07,596,[],"[(604, 1)]"
BCSPWR07,604,[],"[(582, 1), (596, 1)]"
BCSPWR07,606,[],"[(634, 1)]"
BCSPWR07,609,"[610, 611, 612, 613, 614]","[(592, 1)]"
BCSPWR07,610,"[609, 611, 612, 613, 614]","[(592, 1)]"
BCSPWR07,611,"[609, 610, 612, 613, 614]","[(592, 1)]"
BCSPWR07,612,"[609, 610, 611, 613, 614]","[(592, 1)]"
BCSPWR07,613,"[609, 610, 611, 612, 614]","[(592, 1)]"
BCSPWR07,614,"[609, 610, 611, 612, 613]","[(592, 1)]"
BCSPWR07,617,[],"[(640, 1), (641, 1)]"
BCSPWR07,620,"[621, 622]",[]
BCSPWR07,621,"[620, 622]",[]
BCSPWR07,622,"[620, 621]",[]
BCSPWR07,632,[633],"[(587, 1), (643, 1)]"
BCSPWR07,633,[632],"[(587, 1), (643, 1)]"
BCSPWR07,634,[],"[(606, 1)]"
BCSPWR07,640,[641],"[(119, 1), (617, 1)]"
BCSPWR07,641,[640],"[(119, 1), (617, 1)]"
BCSPWR07,642,[],"[(589, 1)]"
BCSPWR07,643,[],"[(632, 1), (633, 1)]"
BCSPWR07,648,[],"[(572, 1)]"
BCSPWR07,650,[],"[(571, 1)]"
BCSPWR07,660,[],"[(743, 1)]"
BCSPWR07,661,[],"[(800, 1)]"
BCSPWR07,671,[],"[(689, 1), (722, 1), (723, 1), (724, 1)]"
BCSPWR07,673,[],"[(775, 1), (776, 1), (689, 1), (722, 1), (723, 1), (724, 1)]"
BCSPWR07,674,[],"[(819, 1)]"
BCSPWR07,676,[],"[(888, 1)]"
BCSPWR07,679,[],"[(878, 1), (718, 1)]"
BCSPWR07,684,[],"[(504, 1)]"
BCSPWR07,688,[],"[(867, 1), (877, 1)]"
BCSPWR07,689,"[722, 723, 724]","[(671, 1), (673, 1), (808, 1), (694, 1), (759, 1)]"
BCSPWR07,690,[],"[(837, 1)]"
BCSPWR07,694,[],"[(689, 1), (722, 1), (723, 1), (724, 1)]"
BCSPWR07,697,[698],[]
BCSPWR07,698,[697],[]
BCSPWR07,700,[],"[(803, 1)]"
BCSPWR07,710,[],"[(711, 1), (713, 1)]"
BCSPWR07,711,[],"[(710, 1), (851, 1), (920, 1)]"
BCSPWR07,713,[],"[(710, 1), (835, 1)]"
BCSPWR07,715,[716],[]
BCSPWR07,716,[715],[]
BCSPWR07,718,[878],"[(679, 1)]"
BCSPWR07,722,"[689, 723, 724]","[(671, 1), (673, 1), (694, 1), (808, 1), (759, 1)]"
BCSPWR07,723,"[689, 722, 724]","[(671, 1), (673, 1), (694, 1), (808, 1), (759, 1)]"
BCSPWR07,724,"[689, 722, 723]","[(671, 1), (673, 1), (694, 1), (808, 1), (759, 1)]"
BCSPWR07,728,[741],[]
BCSPWR07,731,[],"[(871, 1)]"
BCSPWR07,741,[728],[]
BCSPWR07,742,[],"[(362, 1)]"
BCSPWR07,743,[],"[(660, 1)]"
BCSPWR07,746,[],"[(819, 1)]"
BCSPWR07,759,[],"[(689, 1), (722, 1), (723, 1), (724, 1)]"
BCSPWR07,762,[],"[(819, 1)]"
BCSPWR07,772,[879],[]
BCSPWR07,775,[776],"[(673, 1)]"
BCSPWR07,776,[775],"[(673, 1)]"
BCSPWR07,777,[],"[(496, 1)]"
BCSPWR07,800,[],"[(661, 1)]"
BCSPWR07,803,[],"[(700, 1)]"
BCSPWR07,807,[],"[(902, 1)]"
BCSPWR07,808,[],"[(689, 1), (722, 1), (723, 1), (724, 1)]"
BCSPWR07,812,[],"[(867, 1), (877, 1)]"
BCSPWR07,819,[],"[(674, 1), (746, 1), (762, 1), (876, 1), (914, 1)]"
BCSPWR07,831,[],"[(885, 1)]"
BCSPWR07,835,[],"[(713, 1)]"
BCSPWR07,837,[],"[(690, 1)]"
BCSPWR07,844,[875],"[(874, 1)]"
BCSPWR07,848,[],"[(909, 1)]"
BCSPWR07,851,[],"[(711, 1)]"
BCSPWR07,867,[877],"[(688, 1), (812, 1)]"
BCSPWR07,871,[],"[(731, 1)]"
BCSPWR07,874,[],"[(844, 1), (875, 1)]"
BCSPWR07,875,[844],"[(874, 1)]"
BCSPWR07,876,[],"[(372, 1), (819, 1)]"
BCSPWR07,877,[867],"[(688, 1), (812, 1)]"
BCSPWR07,878,[718],"[(679, 1)]"
BCSPWR07,879,[772],[]
BCSPWR07,880,[],"[(891, 1)]"
BCSPWR07,885,[],"[(831, 1)]"
BCSPWR07,888,[],"[(676, 1), (905, 1), (893, 1)]"
BCSPWR07,891,[],"[(880, 1)]"
BCSPWR07,893,[],"[(888, 1)]"
BCSPWR07,902,[],"[(807, 1)]"
BCSPWR07,905,[],"[(888, 1)]"
BCSPWR07,909,[],"[(848, 1)]"
BCSPWR07,914,[],"[(819, 1)]"
BCSPWR07,915,[916],[]
BCSPWR07,916,[915],[]
BCSPWR07,917,[],"[(919, 1)]"
BCSPWR07,919,[],"[(917, 1)]"
BCSPWR07,920,[],"[(711, 1)]"
BCSPWR07,926,"[965, 1014]",[]
BCSPWR07,927,[1095],[]
BCSPWR07,928,[980],"[(994, 1)]"
BCSPWR07,934,[1038],[]
BCSPWR07,941,[942],[]
BCSPWR07,942,[941],[]
BCSPWR07,946,[],"[(957, 1)]"
BCSPWR07,947,[],"[(1046, 1)]"
BCSPWR07,949,[],"[(1027, 1)]"
BCSPWR07,952,"[977, 1096]",[]
BCSPWR07,954,[1061],"[(1062, 1)]"
BCSPWR07,957,[],"[(946, 1), (1001, 1)]"
BCSPWR07,960,[961],[]
BCSPWR07,961,[960],[]
BCSPWR07,964,[],"[(1065, 1)]"
BCSPWR07,965,"[926, 1014]",[]
BCSPWR07,970,[],"[(1050, 1), (1049, 1), (1051, 1), (1052, 1)]"
BCSPWR07,977,"[952, 1096]",[]
BCSPWR07,980,[928],"[(994, 1)]"
BCSPWR07,983,[],"[(997, 1)]"
BCSPWR07,991,[1040],[]
BCSPWR07,992,"[995, 1084]",[]
BCSPWR07,994,[],"[(928, 1), (980, 1)]"
BCSPWR07,995,"[992, 1084]",[]
BCSPWR07,997,[],"[(983, 1), (1053, 1)]"
BCSPWR07,998,[1085],[]
BCSPWR07,1001,[],"[(957, 1)]"
BCSPWR07,1007,"[1019, 1020]",[]
BCSPWR07,1011,[],"[(1054, 1)]"
BCSPWR07,1014,"[926, 965]",[]
BCSPWR07,1019,"[1007, 1020]",[]
BCSPWR07,1020,"[1007, 1019]",[]
BCSPWR07,1023,[1029],[]
BCSPWR07,1027,[],"[(949, 1)]"
BCSPWR07,1029,[1023],[]
BCSPWR07,1031,[1069],[]
BCSPWR07,1034,[],"[(1047, 1)]"
BCSPWR07,1038,[934],[]
BCSPWR07,1039,[],"[(1042, 1), (1043, 1)]"
BCSPWR07,1040,[991],[]
BCSPWR07,1042,[1043],"[(1039, 1)]"
BCSPWR07,1043,[1042],"[(1039, 1)]"
BCSPWR07,1044,[],"[(1050, 1), (1049, 1), (1051, 1), (1052, 1)]"
BCSPWR07,1046,[],"[(947, 1)]"
BCSPWR07,1047,[],"[(1034, 1), (1092, 1)]"
BCSPWR07,1049,"[1050, 1051, 1052]","[(970, 1), (1044, 1), (1068, 1)]"
BCSPWR07,1050,"[1049, 1051, 1052]","[(970, 1), (1044, 1), (1068, 1)]"
BCSPWR07,1051,"[1049, 1050, 1052]","[(970, 1), (1044, 1), (1068, 1)]"
BCSPWR07,1052,"[1049, 1050, 1051]","[(970, 1), (1044, 1), (1068, 1)]"
BCSPWR07,1053,[],"[(997, 1)]"
BCSPWR07,1054,[],"[(1011, 1)]"
BCSPWR07,1060,[],"[(1073, 1)]"
BCSPWR07,1061,[954],"[(1062, 1)]"
BCSPWR07,1062,[],"[(954, 1), (1061, 1)]"
BCSPWR07,1065,[],"[(964, 1), (1086, 1)]"
BCSPWR07,1068,[],"[(1049, 1), (1050, 1), (1051, 1), (1052, 1)]"
BCSPWR07,1069,[1031],[]
BCSPWR07,1073,[],"[(1060, 1)]"
BCSPWR07,1084,"[992, 995]",[]
BCSPWR07,1085,[998],[]
BCSPWR07,1086,[],"[(1065, 1)]"
BCSPWR07,1092,[],"[(1047, 1)]"
BCSPWR07,1095,[927],[]
BCSPWR07,1096,"[952, 977]",[]
BCSPWR07,1098,[],"[(1421, 1), (1422, 1), (1423, 1)]"
BCSPWR07,1100,[],"[(1104, 1)]"
BCSPWR07,1104,[],"[(1100, 1), (1474, 1)]"
BCSPWR07,1105,[1106],"[(1115, 1)]"
BCSPWR07,1106,[1105],"[(1115, 1)]"
BCSPWR07,1107,[],"[(1529, 1)]"
BCSPWR07,1112,[],"[(1573, 1)]"
BCSPWR07,1115,[],"[(1105, 1), (1106, 1)]"
BCSPWR07,1123,[],"[(1126, 1)]"
BCSPWR07,1126,[],"[(1123, 1)]"
BCSPWR07,1137,[],"[(1138, 1)]"
BCSPWR07,1138,[],"[(1137, 1), (1158, 1)]"
BCSPWR07,1144,"[1147, 1148]",[]
BCSPWR07,1147,"[1144, 1148]",[]
BCSPWR07,1148,"[1144, 1147]",[]
BCSPWR07,1151,[],"[(1169, 1)]"
BCSPWR07,1152,[],"[(1169, 1)]"
BCSPWR07,1153,[],"[(1155, 1)]"
BCSPWR07,1155,[],"[(1153, 1)]"
BCSPWR07,1158,[],"[(1138, 1)]"
BCSPWR07,1169,[],"[(1151, 1), (1152, 1)]"
BCSPWR07,1180,[],"[(1184, 1), (1490, 1)]"
BCSPWR07,1184,[],"[(1180, 1)]"
BCSPWR07,1189,[],"[(1195, 1), (1196, 1)]"
BCSPWR07,1192,[1220],[]
BCSPWR07,1195,[1196],"[(1189, 1), (1200, 1), (1214, 1)]"
BCSPWR07,1196,[1195],"[(1189, 1), (1200, 1), (1214, 1)]"
BCSPWR07,1197,[],"[(1213, 1)]"
BCSPWR07,1199,[],"[(1213, 1)]"
BCSPWR07,1200,[],"[(1195, 1), (1196, 1)]"
BCSPWR07,1207,[1208],"[(1226, 1), (1227, 1), (1228, 1)]"
BCSPWR07,1208,[1207],"[(1226, 1), (1227, 1), (1228, 1)]"
BCSPWR07,1209,[],"[(1226, 1), (1227, 1), (1228, 1)]"
BCSPWR07,1213,[],"[(1197, 1), (1199, 1)]"
BCSPWR07,1214,[],"[(1195, 1), (1196, 1)]"
BCSPWR07,1219,[],"[(1230, 1)]"
BCSPWR07,1220,[1192],[]
BCSPWR07,1223,[],"[(1226, 1), (1227, 1), (1228, 1)]"
BCSPWR07,1226,"[1227, 1228]","[(1207, 1), (1208, 1), (1209, 1), (1223, 1)]"
BCSPWR07,1227,"[1226, 1228]","[(1207, 1), (1208, 1), (1209, 1), (1223, 1)]"
BCSPWR07,1228,"[1226, 1227]","[(1207, 1), (1208, 1), (1209, 1), (1223, 1)]"
BCSPWR07,1230,[],"[(1219, 1)]"
BCSPWR07,1231,[],"[(1241, 1)]"
BCSPWR07,1232,[],"[(1289, 1)]"
BCSPWR07,1234,[],"[(1248, 1), (1239, 1), (1240, 1)]"
BCSPWR07,1239,[1240],"[(1234, 1)]"
BCSPWR07,1240,[1239],"[(1234, 1)]"
BCSPWR07,1241,[],"[(1231, 1)]"
BCSPWR07,1245,[1246],[]
BCSPWR07,1246,[1245],[]
BCSPWR07,1248,[],"[(1234, 1)]"
BCSPWR07,1249,[1270],[]
BCSPWR07,1251,[],"[(1274, 1), (1265, 1), (1272, 1), (1273, 1)]"
BCSPWR07,1256,[],"[(1283, 1), (1272, 1), (1273, 1), (1274, 1)]"
BCSPWR07,1261,[1262],[]
BCSPWR07,1262,[1261],[]
BCSPWR07,1264,[],"[(1280, 1)]"
BCSPWR07,1265,[],"[(1251, 1)]"
BCSPWR07,1270,[1249],[]
BCSPWR07,1272,"[1273, 1274]","[(1251, 1), (1256, 1)]"
BCSPWR07,1273,"[1272, 1274]","[(1251, 1), (1256, 1)]"
BCSPWR07,1274,"[1272, 1273]","[(1251, 1), (1256, 1)]"
BCSPWR07,1280,[],"[(1264, 1)]"
BCSPWR07,1281,[1282],[]
BCSPWR07,1282,[1281],[]
BCSPWR07,1283,[],"[(1256, 1)]"
BCSPWR07,1289,[],"[(1232, 1)]"
BCSPWR07,1291,[1292],[]
BCSPWR07,1292,[1291],[]
BCSPWR07,1299,[],"[(1369, 1), (1362, 1)]"
BCSPWR07,1305,[1306],"[(1336, 1)]"
BCSPWR07,1306,[1305],"[(1336, 1)]"
BCSPWR07,1317,[1318],[]
BCSPWR07,1318,[1317],[]
BCSPWR07,1320,[],"[(1359, 1)]"
BCSPWR07,1330,[1331],[]
BCSPWR07,1331,[1330],[]
BCSPWR07,1336,[],"[(1305, 1), (1306, 1)]"
BCSPWR07,1353,[1354],[]
BCSPWR07,1354,[1353],[]
BCSPWR07,1359,[],"[(1320, 1)]"
BCSPWR07,1362,[],"[(1299, 1)]"
BCSPWR07,1364,[1365],[]
BCSPWR07,1365,[1364],[]
BCSPWR07,1369,[],"[(1299, 1)]"
BCSPWR07,1387,[1410],[]
BCSPWR07,1390,[1391],"[(1450, 1)]"
BCSPWR07,1391,[1390],"[(1450, 1)]"
BCSPWR07,1398,[1399],"[(1446, 1)]"
BCSPWR07,1399,[1398],"[(1446, 1)]"
BCSPWR07,1402,[],"[(1415, 1)]"
BCSPWR07,1407,[],"[(1418, 1)]"
BCSPWR07,1409,[],"[(1442, 1)]"
BCSPWR07,1410,[1387],[]
BCSPWR07,1411,[1412],"[(1431, 1)]"
BCSPWR07,1412,[1411],"[(1431, 1)]"
BCSPWR07,1415,[],"[(1402, 1)]"
BCSPWR07,1416,[],"[(339, 1), (340, 1)]"
BCSPWR07,1418,[],"[(1407, 1), (1426, 1)]"
BCSPWR07,1421,"[1422, 1423]","[(1098, 1)]"
BCSPWR07,1422,"[1421, 1423]","[(1098, 1)]"
BCSPWR07,1423,"[1421, 1422]","[(1098, 1)]"
BCSPWR07,1426,[],"[(1418, 1)]"
BCSPWR07,1427,[],"[(1440, 1)]"
BCSPWR07,1431,[],"[(67, 1), (1411, 1), (1412, 1)]"
BCSPWR07,1433,[1439],[]
BCSPWR07,1439,[1433],[]
BCSPWR07,1440,[],"[(1427, 1)]"
